Crash ID,$1000 Damage to Any One Person's Property,Agency,Case ID,City,Contributing Factors,County,Crash Date,Crash Severity,Fatal Crash Flag,Intersecting Street Number,Nearest Trauma Center,Nearest Trauma Center Distance,Region,Contributing Factor 1,Contributing Factor 2,Contributing Factor 3,Driver Zip Code,Lessee/Owner Zip Code,Vehicle Hit and Run Flag,VIN,Person Age,Person Gender,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Number,Physical Location of An Occupant
20743961,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068667,SAN ANTONIO,DRIVER INATTENTION;UNSAFE SPEED,BEXAR,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.607,60,60 - UNSAFE SPEED,20 - DRIVER INATTENTION,No Data,78211,77842,No,5TFMC5DB0RX048023,44,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20743961,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068667,SAN ANTONIO,DRIVER INATTENTION;UNSAFE SPEED,BEXAR,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.607,60,60 - UNSAFE SPEED,20 - DRIVER INATTENTION,No Data,78211,77842,No,5TFMC5DB0RX048023,16,1 - MALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20743961,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068667,SAN ANTONIO,DRIVER INATTENTION;UNSAFE SPEED,BEXAR,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.607,60,60 - UNSAFE SPEED,20 - DRIVER INATTENTION,No Data,78211,77842,No,5TFMC5DB0RX048023,14,2 - FEMALE,N - NOT INJURED,0,3,6 - SECOND SEAT RIGHT
20743961,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068667,SAN ANTONIO,DRIVER INATTENTION;UNSAFE SPEED,BEXAR,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.607,60,60 - UNSAFE SPEED,20 - DRIVER INATTENTION,No Data,78211,77842,No,5TFMC5DB0RX048023,7,1 - MALE,N - NOT INJURED,0,4,4 - SECOND SEAT LEFT OR MOTORCYCLE BACK PASSENGER
20743961,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068667,SAN ANTONIO,DRIVER INATTENTION;UNSAFE SPEED,BEXAR,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.607,60,No Data,No Data,No Data,78224,78224,No,KNDJ63AU9L7033435,41,2 - FEMALE,C - POSSIBLE INJURY,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20743962,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068691,SAN ANTONIO,DRIVER INATTENTION,BEXAR,2025-04-07,N - NOT INJURED,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.6,60,20 - DRIVER INATTENTION,No Data,No Data,78221,78221,No,5XYZG3AB6CG165117,54,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20743962,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068691,SAN ANTONIO,DRIVER INATTENTION,BEXAR,2025-04-07,N - NOT INJURED,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,4.6,60,No Data,No Data,No Data,78224,78224,No,19XFL2H82PE004611,25,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20743964,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068787,SAN ANTONIO,FAILED TO STOP AT PROPER PLACE;FAILED TO YIELD RIGHT OF WAY - STOP SIGN,BEXAR,2025-04-07,N - NOT INJURED,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,2.938,60,29 - FAILED TO STOP AT PROPER PLACE,35 - FAILED TO YIELD RIGHT OF WAY - STOP SIGN,No Data,78223,78223,No,5YFBURHE7KP895433,20,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20743964,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068787,SAN ANTONIO,FAILED TO STOP AT PROPER PLACE;FAILED TO YIELD RIGHT OF WAY - STOP SIGN,BEXAR,2025-04-07,N - NOT INJURED,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,2.938,60,No Data,No Data,No Data,78210,78210,No,NMTKHMBX2LR118408,74,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20743965,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068782,SAN ANTONIO,FAILED TO STOP AT PROPER PLACE; FOLLOWED TOO CLOSELY,BEXAR,2025-04-07,N - NOT INJURED,0,NO DATA,46 - CHRISTUS CHILDRENS HOSPITAL OF SAN ANTONIO,8.567,60,29 - FAILED TO STOP AT PROPER PLACE,44 - FOLLOWED TOO CLOSELY,No Data,78239,78390,Yes,JTEZU14R778072153,41,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
